"id","camping","plaats","provincie","officiele_organisatie","officiele_profiel_url","campingkiezer_profiel","claim_url"
"ck0572","RCN De Jagerstee","Epe","Gelderland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/veluwe/rcn-de-jagerstee","https://camping-kiezer.nl/camping/rcn-de-jagerstee/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-de-jagerstee"
"ck0573","RCN De Potten","Offingawier","Friesland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/friesland/rcn-de-potten","https://camping-kiezer.nl/camping/rcn-de-potten/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-de-potten"
"ck0574","RCN De Roggeberg","Appelscha","Friesland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/friesland/rcn-de-roggeberg","https://camping-kiezer.nl/camping/rcn-de-roggeberg/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-de-roggeberg"
"ck0575","RCN De Schotsman","Kamperland","Zeeland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/zeeland/rcn-de-schotsman","https://camping-kiezer.nl/camping/rcn-de-schotsman/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-de-schotsman"
"ck0576","RCN Toppershoedje","Ouddorp","Zuid-Holland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/zuid-holland/rcn-toppershoedje","https://camping-kiezer.nl/camping/rcn-toppershoedje/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-toppershoedje"
"ck0577","RCN Vakantiepark de Noordster","Dwingeloo","Drenthe","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/drenthe/rcn-de-noordster","https://camping-kiezer.nl/camping/rcn-vakantiepark-de-noordster/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-vakantiepark-de-noordster"
"ck0578","RCN vakantiepark Het Grote Bos","Doorn","Utrecht","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/utrecht/rcn-het-grote-bos","https://camping-kiezer.nl/camping/rcn-vakantiepark-het-grote-bos/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-vakantiepark-het-grote-bos"
"ck0691","RCN Zeewolde","Zeewolde","Flevoland","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/flevoland/rcn-zeewolde","https://camping-kiezer.nl/camping/rcn-zeewolde/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-zeewolde"
"ck0010","Camping 't Wieskamp","Winterswijk/Henxel","Gelderland","Capfun","https://www.capfun.nl/camping-frankrijk-gelderland-wieskamp-NL.html","https://camping-kiezer.nl/camping/camping-t-wieskamp/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-t-wieskamp"
"ck0306","Camping De Rotonde","Enspijk","Gelderland","Capfun","https://www.capfun.nl/camping-frankrijk-gelderland-de_rotonde-NL.html","https://camping-kiezer.nl/camping/camping-de-rotonde/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-rotonde"
